Index,Degree,Strength,ASPL,LSPL,Clust Coeff,Betweeness,Eigenvector,PageRank
AAA,2.0,92.0,4.51700304,1.0,1.0,0.0,8.966e-5,0.00014614
AAE,6.0,7284.0,3.6776334,1.0,0.73333333,6.389e-5,0.00591853,0.00018338
AAL,3.0,13071.0,3.910423,1.0,1.0,0.0,0.00332087,0.00010462
AAN,11.0,3224.5,3.92784075,1.0,0.67272727,1.012e-5,0.0069863,0.00027764
AAQ,10.0,1690.0,3.81006359,1.0,0.33333333,2.003e-5,0.00656959,0.0002747
AAR,6.0,11653.0,3.60077412,1.0,0.93333333,2.0e-8,0.00911095,0.00016614
AAT,1.0,28.5,4.6826099,1.0,0.0,0.0,0.00012477,6.949e-5
AAU,1.0,38.0,5.63201548,1.0,0.0,0.0,8.6e-7,0.00010724
AAY,4.0,646.0,4.51783246,1.0,0.83333333,6.0e-8,0.0005958,0.00014285
ABA,1.0,164.0,4.87254631,1.0,0.0,0.0,6.84e-5,6.974e-5
ABD,4.0,2918.0,3.95604092,1.0,0.83333333,3.03e-6,0.00238341,0.00013988
ABE,14.0,21783.0,3.64583909,1.0,0.92307692,2.27e-6,0.02075742,0.00029788
ABI,3.0,2582.0,3.93226431,1.0,1.0,0.0,0.00354365,0.00011331
ABJ,28.0,25044.5,3.46640863,1.0,0.35449735,0.00095033,0.02445302,0.00070175
ABK,3.0,250.0,5.42825546,1.0,1.0,0.0,7.84e-6,0.00020639
ABL,4.0,278.0,5.19214819,1.0,0.66666667,2.75e-6,6.29e-6,0.00025321
ABM,3.0,268.0,4.46447332,1.0,0.33333333,0.00027576,8.996e-5,0.00020213
ABQ,36.0,105678.0,3.42300249,1.0,0.34126984,0.00418884,0.02899152,0.00102828
ABR,3.0,2958.0,4.04644733,1.0,0.33333333,0.00055294,0.00142822,0.00018434
ABS,1.0,4391.0,4.66215095,1.0,0.0,0.0,9.179e-5,7.653e-5
ABT,2.0,2210.0,4.09068289,1.0,1.0,0.0,0.00173044,8.445e-5
ABV,3.0,3253.0,3.7074924,1.0,0.66666667,8.556e-5,0.00366467,0.00013348
ABX,5.0,3935.0,4.21371302,1.0,0.6,5.7e-6,0.00046365,0.00023589
ABY,1.0,1410.0,3.91595245,1.0,0.0,0.0,0.0021665,6.008e-5
ABZ,22.0,32727.5,3.58363284,1.0,0.28138528,0.00374792,0.01469414,0.00058963
ACA,8.0,13579.0,3.90157589,1.0,0.67857143,4.419e-5,0.0063752,0.00021568
ACC,24.0,16868.5,3.3602433,1.0,0.31884058,0.00073384,0.02415604,0.00057456
ACE,38.0,27079.5,3.53110312,1.0,0.47510669,5.577e-5,0.04139522,0.00067203
ACH,1.0,1300.0,3.98894111,1.0,0.0,0.0,0.00211695,5.853e-5
ACI,3.0,907.5,4.50732651,1.0,1.0,0.0,0.00084469,0.00010087
ACK,6.0,3841.0,3.7025159,1.0,0.6,0.00046284,0.00511901,0.00019245
ACT,4.0,2406.0,3.93198784,1.0,0.83333333,5.0e-8,0.00360663,0.00014458
ACV,5.0,3987.0,3.86342273,1.0,0.6,2.55e-6,0.00266096,0.00017377
ADA,7.0,10704.0,3.63339784,1.0,0.71428571,1.317e-5,0.0106939,0.00018467
ADD,37.0,16197.5,3.43406138,1.0,0.15615616,0.01701774,0.01904992,0.00136925
ADE,14.0,4865.0,3.90959359,1.0,0.48351648,0.00013189,0.00812564,0.00037728
ADF,1.0,158.0,4.48963229,1.0,0.0,0.0,0.00061373,6.888e-5
ADH,2.0,320.0,4.86508156,1.0,1.0,0.0,9.61e-5,0.00010005
ADK,1.0,96.0,5.21260713,1.0,0.0,0.0,5.22e-6,0.00011467
ADL,24.0,60967.0,3.63339784,1.0,0.17028986,0.00658288,0.00389358,0.00125678
ADQ,1.0,3071.0,4.21730716,1.0,0.0,0.0,0.00027824,8.605e-5
ADU,1.0,1077.0,4.20127177,1.0,0.0,0.0,0.00088185,6.733e-5
ADZ,6.0,5033.0,4.21868952,1.0,0.73333333,8.46e-6,0.00100658,0.00025511
AER,12.0,3175.0,3.87337573,1.0,0.54545455,1.48e-6,0.00541809,0.00030198
AES,4.0,15724.0,4.28366049,1.0,1.0,0.0,0.00133046,0.00015942
AET,4.0,210.0,4.89576998,1.0,0.66666667,1.5e-7,2.719e-5,0.000278
AEX,5.0,4124.0,3.92701134,1.0,0.7,2.87e-6,0.00473283,0.00015159
AEY,6.0,2998.0,4.32264307,1.0,0.26666667,0.0013819,0.00049748,0.00039873
AFA,2.0,777.0,4.10782416,1.0,1.0,0.0,0.00065625,0.0001274
AFL,1.0,150.0,6.08128283,1.0,0.0,0.0,3.4e-7,0.00011673
AFT,1.0,9.0,5.28531933,1.0,0.0,0.0,4.19e-6,0.00010874
AGA,12.0,7813.5,3.59911529,1.0,0.5,0.00061857,0.01905245,0.00028438
AGE,1.0,56.0,6.37544927,1.0,0.0,0.0,4.5e-7,0.00014307
AGF,2.0,480.0,3.68786287,1.0,1.0,0.0,0.00326102,0.00010794
AGH,3.0,7254.0,3.89798175,1.0,1.0,0.0,0.00361591,0.00010962
AGJ,1.0,392.0,4.64694498,1.0,0.0,0.0,0.00013308,6.837e-5
AGL,3.0,111.0,4.74260437,1.0,0.33333333,0.00055157,3.03e-5,0.00023151
AGN,2.0,168.0,4.90793475,1.0,1.0,0.0,2.647e-5,0.00018995
AGP,47.0,68862.5,3.40033177,1.0,0.49398705,0.00085634,0.06190632,0.00091869
AGR,3.0,1956.0,4.11998894,1.0,0.33333333,0.00022617,0.00085472,0.00013961
AGS,2.0,7153.0,3.91180536,1.0,1.0,0.0,0.00356339,7.899e-5
AGT,2.0,1648.0,4.09842411,1.0,1.0,0.0,0.00097428,0.00010873
AGU,7.0,7678.0,3.66546862,1.0,0.76190476,5.76e-6,0.00512863,0.00019228
AHB,7.0,16245.0,4.08625933,1.0,0.66666667,0.00019324,0.00224594,0.00021568
