Index,network,μ,β,p
1,Barabasi-Albert_50_600_6.net,0.1,0.0,0.00230070448646644
2,Barabasi-Albert_50_600_9_1.net,0.1,0.0,0.0019058212829069334
3,Barabasi-Albert_50_600_6.net,0.1,0.04,0.7486874304783095
4,Barabasi-Albert_50_600_9_1.net,0.1,0.02,0.7031238413051564
5,Barabasi-Albert_50_600_6.net,0.1,0.08,0.8350074156470235
6,Barabasi-Albert_50_600_9_1.net,0.1,0.04,0.8071839080459738
7,Barabasi-Albert_50_600_6.net,0.1,0.12,0.8674360400444983
8,Barabasi-Albert_50_600_9_1.net,0.1,0.06,0.8451093807934825
9,Barabasi-Albert_50_600_6.net,0.1,0.16,0.8828772710418932
10,Barabasi-Albert_50_600_9_1.net,0.1,0.08,0.8675176121616652
11,Barabasi-Albert_50_600_6.net,0.1,0.2,0.8925639599554979
12,Barabasi-Albert_50_600_9_1.net,0.1,0.1,0.8798201705598783
13,Barabasi-Albert_50_600_6.net,0.1,0.24,0.8985335558027336
14,Barabasi-Albert_50_600_9_1.net,0.1,0.12,0.8884297367445244
15,Barabasi-Albert_50_600_6.net,0.1,0.28,0.9015999258435204
16,Barabasi-Albert_50_600_9_1.net,0.1,0.14,0.8951056729699569
17,Barabasi-Albert_50_600_6.net,0.1,0.32,0.9051205042639864
18,Barabasi-Albert_50_600_9_1.net,0.1,0.16,0.8974582869855307
19,Barabasi-Albert_50_600_6.net,0.1,0.36,0.9063774564330631
20,Barabasi-Albert_50_600_9_1.net,0.1,0.18,0.9004486466444099
21,Barabasi-Albert_50_600_6.net,0.1,0.4,0.9072580645161188
22,Barabasi-Albert_50_600_9_1.net,0.1,0.2,0.9026603633666938
23,Barabasi-Albert_50_600_6.net,0.1,0.44,0.9077030033370314
24,Barabasi-Albert_50_600_9_1.net,0.1,0.22,0.9051835372636159
25,Barabasi-Albert_50_600_6.net,0.1,0.48,0.9087337782721442
26,Barabasi-Albert_50_600_9_1.net,0.1,0.24,0.9058249907304317
27,Barabasi-Albert_50_600_6.net,0.1,0.52,0.9094475342973574
28,Barabasi-Albert_50_600_9_1.net,0.1,0.26,0.9065591397849359
29,Barabasi-Albert_50_600_6.net,0.1,0.56,0.9089766407118915
30,Barabasi-Albert_50_600_9_1.net,0.1,0.28,0.9072914349276869
31,Barabasi-Albert_50_600_6.net,0.1,0.6,0.9094753429736641
32,Barabasi-Albert_50_600_9_1.net,0.1,0.3,0.9079421579532712
33,Barabasi-Albert_50_600_6.net,0.1,0.64,0.9091824249165641
34,Barabasi-Albert_50_600_9_1.net,0.1,0.32,0.9075639599554959
35,Barabasi-Albert_50_600_6.net,0.1,0.68,0.9090656284760746
36,Barabasi-Albert_50_600_9_1.net,0.1,0.34,0.9081776047460026
37,Barabasi-Albert_50_600_6.net,0.1,0.72,0.909175009269549
38,Barabasi-Albert_50_600_9_1.net,0.1,0.36,0.908348164627353
39,Barabasi-Albert_50_600_6.net,0.1,0.76,0.9096570263255371
40,Barabasi-Albert_50_600_9_1.net,0.1,0.38,0.9088505747126332
41,Barabasi-Albert_50_600_6.net,0.1,0.8,0.9091731553577947
42,Barabasi-Albert_50_600_9_1.net,0.1,0.4,0.9090878754171201
43,Barabasi-Albert_50_600_6.net,0.1,0.84,0.9086929922135611
44,Barabasi-Albert_50_600_9_1.net,0.1,0.42,0.9085076010381811
