Index,network,μ,β,p
1,ER_N500_k6.net,0.1,0.0,0.0020447608453837596
2,ER_N500_k6.net,0.1,0.02,0.0019641156840934366
3,ER_N500_k6.net,0.1,0.04,0.001963826473859844
4,ER_N500_k6.net,0.1,0.06,0.0020080088987764174
5,ER_N500_k6.net,0.1,0.08,0.0020551946607341486
6,ER_N500_k6.net,0.1,0.1,0.0020005561735261398
7,ER_N500_k6.net,0.1,0.12,0.0019658286985539484
8,ER_N500_k6.net,0.1,0.14,0.0020014015572858727
9,ER_N500_k6.net,0.1,0.16,0.0020135261401557276
10,ER_N500_k6.net,0.1,0.18,0.002013882091212457
11,ER_N500_k6.net,0.1,0.2,0.0020710567296996648
12,ER_N500_k6.net,0.1,0.22,0.0020186651835372624
13,ER_N500_k6.net,0.1,0.24,0.0020125027808676295
14,ER_N500_k6.net,0.1,0.26,0.0019981312569521694
15,ER_N500_k6.net,0.1,0.28,0.002000556173526139
16,ER_N500_k6.net,0.1,0.3,0.0020462958843159066
17,ER_N500_k6.net,0.1,0.32,0.001982113459399333
18,ER_N500_k6.net,0.1,0.34,0.002034593993325917
19,ER_N500_k6.net,0.1,0.36,0.0020128364849833127
20,ER_N500_k6.net,0.1,0.38,0.0019967741935483867
21,ER_N500_k6.net,0.1,0.4,0.0019617130144605113
22,ER_N500_k6.net,0.1,0.42,0.0020132369299221352
23,ER_N500_k6.net,0.1,0.44,0.00202202447163515
24,ER_N500_k6.net,0.1,0.46,0.0019916796440489428
25,ER_N500_k6.net,0.1,0.48,0.002022936596218018
26,ER_N500_k6.net,0.1,0.5,0.002091679644048942
27,ER_N500_k6.net,0.1,0.52,0.00199285873192436
28,ER_N500_k6.net,0.1,0.54,0.0019759288097886533
29,ER_N500_k6.net,0.1,0.56,0.002020934371523915
30,ER_N500_k6.net,0.1,0.58,0.002004894327030032
31,ER_N500_k6.net,0.1,0.6,0.002012747497219131
32,ER_N500_k6.net,0.1,0.62,0.001969143492769744
33,ER_N500_k6.net,0.1,0.64,0.0020008008898776413
34,ER_N500_k6.net,0.1,0.66,0.001996373748609566
35,ER_N500_k6.net,0.1,0.68,0.0019862513904338143
36,ER_N500_k6.net,0.1,0.7,0.0019717463848720786
37,ER_N500_k6.net,0.1,0.72,0.0019790878754171294
38,ER_N500_k6.net,0.1,0.74,0.001974549499443825
39,ER_N500_k6.net,0.1,0.76,0.002017641824249165
40,ER_N500_k6.net,0.1,0.78,0.0020236929922135705
41,ER_N500_k6.net,0.1,0.8,0.0019803781979977745
42,ER_N500_k6.net,0.1,0.82,0.002010144605116795
43,ER_N500_k6.net,0.1,0.84,0.0019941490545050044
44,ER_N500_k6.net,0.1,0.86,0.0020127919911012222
45,ER_N500_k6.net,0.1,0.88,0.002041935483870967
46,ER_N500_k6.net,0.1,0.9,0.002054037819799776
47,ER_N500_k6.net,0.1,0.92,0.0020178420467185753
48,ER_N500_k6.net,0.1,0.94,0.0020527030033370406
49,ER_N500_k6.net,0.1,0.96,0.0020084315906562836
50,ER_N500_k6.net,0.1,0.98,0.002039577308120133
51,ER_N500_k6.net,0.1,1.0,0.0020400667408231356
52,ER_N500_k6.net,0.5,0.0,0.00022126807563959937
53,ER_N500_k6.net,0.5,0.02,0.00021911012235817547
54,ER_N500_k6.net,0.5,0.04,0.00022242491657397084
55,ER_N500_k6.net,0.5,0.06,0.00022084538375973282
56,ER_N500_k6.net,0.5,0.08,0.00022255839822024457
57,ER_N500_k6.net,0.5,0.1,0.00023045606229143468
58,ER_N500_k6.net,0.5,0.12,0.0002284093437152389
59,ER_N500_k6.net,0.5,0.14,0.0002206896551724136
60,ER_N500_k6.net,0.5,0.16,0.00022242491657397084
61,ER_N500_k6.net,0.5,0.18,0.00022298109010011102
62,ER_N500_k6.net,0.5,0.2,0.00022124582869855372
63,ER_N500_k6.net,0.5,0.22,0.0002175305895439375
64,ER_N500_k6.net,0.5,0.24,0.00021728587319243587
65,ER_N500_k6.net,0.5,0.26,0.00021708565072302535
66,ER_N500_k6.net,0.5,0.28,0.00022218020022246913
67,ER_N500_k6.net,0.5,0.3,0.00022834260289210208
68,ER_N500_k6.net,0.5,0.32,0.00021839822024471615
69,ER_N500_k6.net,0.5,0.34,0.00021873192436040035
70,ER_N500_k6.net,0.5,0.36,0.00021775305895439359
71,ER_N500_k6.net,0.5,0.38,0.00022137931034482735
72,ER_N500_k6.net,0.5,0.4,0.00022573971078976627
73,ER_N500_k6.net,0.5,0.42,0.00022149054505005546
74,ER_N500_k6.net,0.5,0.44,0.0002208898776418241
75,ER_N500_k6.net,0.5,0.46,0.0002238042269187984
76,ER_N500_k6.net,0.5,0.48,0.00022803114571746366
77,ER_N500_k6.net,0.5,0.5,0.00022088987764182412
78,ER_N500_k6.net,0.5,0.52,0.00022135706340378167
79,ER_N500_k6.net,0.5,0.54,0.00023058954393770836
80,ER_N500_k6.net,0.5,0.56,0.00021939933259176842
81,ER_N500_k6.net,0.5,0.58,0.00022313681868743024
82,ER_N500_k6.net,0.5,0.6,0.00022420467185761933
83,ER_N500_k6.net,0.5,0.62,0.00022195773081201323
84,ER_N500_k6.net,0.5,0.64,0.00022482758620689635
85,ER_N500_k6.net,0.5,0.66,0.00022364849833147926
86,ER_N500_k6.net,0.5,0.68,0.00022095661846496087
87,ER_N500_k6.net,0.5,0.7,0.00022091212458286963
88,ER_N500_k6.net,0.5,0.72,0.00022320355951056705
89,ER_N500_k6.net,0.5,0.74,0.00021581757508342588
90,ER_N500_k6.net,0.5,0.76,0.0002161290322580644
91,ER_N500_k6.net,0.5,0.78,0.00022120133481646259
92,ER_N500_k6.net,0.5,0.8,0.00022166852057842025
93,ER_N500_k6.net,0.5,0.82,0.00021728587319243587
94,ER_N500_k6.net,0.5,0.84,0.00022845383759733013
95,ER_N500_k6.net,0.5,0.86,0.00021628476084538351
96,ER_N500_k6.net,0.5,0.88,0.00022616240266963274
97,ER_N500_k6.net,0.5,0.9,0.00021959955506117883
98,ER_N500_k6.net,0.5,0.92,0.00022640711902113426
99,ER_N500_k6.net,0.5,0.94,0.00022453837597330336
100,ER_N500_k6.net,0.5,0.96,0.00022137931034482735
101,ER_N500_k6.net,0.5,0.98,0.00022113459399332566
102,ER_N500_k6.net,0.5,1.0,0.00022614015572858706
103,ER_N500_k6.net,0.9,0.0,2.4404894327030023e-5
104,ER_N500_k6.net,0.9,0.02,2.4226918798665177e-5
105,ER_N500_k6.net,0.9,0.04,2.4249165739710772e-5
106,ER_N500_k6.net,0.9,0.06,2.5383759733036702e-5
107,ER_N500_k6.net,0.9,0.08,2.4204671857619575e-5
108,ER_N500_k6.net,0.9,0.1,2.567296996662958e-5
109,ER_N500_k6.net,0.9,0.12,2.382647385984427e-5
110,ER_N500_k6.net,0.9,0.14,2.4694104560622887e-5
111,ER_N500_k6.net,0.9,0.16,2.5116796440489424e-5
112,ER_N500_k6.net,0.9,0.18,2.391546162402668e-5
113,ER_N500_k6.net,0.9,0.2,2.591768631813123e-5
114,ER_N500_k6.net,0.9,0.22,2.4160177975528354e-5
115,ER_N500_k6.net,0.9,0.24,2.4182424916573956e-5
116,ER_N500_k6.net,0.9,0.26,2.4827586206896533e-5
117,ER_N500_k6.net,0.9,0.28,2.5250278086763056e-5
118,ER_N500_k6.net,0.9,0.3,2.5406006674082308e-5
119,ER_N500_k6.net,0.9,0.32,2.395995550611789e-5
120,ER_N500_k6.net,0.9,0.34,2.5361512791991083e-5
121,ER_N500_k6.net,0.9,0.36,2.364849833147942e-5
122,ER_N500_k6.net,0.9,0.38,2.4938820912124574e-5
123,ER_N500_k6.net,0.9,0.4,2.5517241379310325e-5
124,ER_N500_k6.net,0.9,0.42,2.498331479421577e-5
125,ER_N500_k6.net,0.9,0.44,2.344827586206895e-5
126,ER_N500_k6.net,0.9,0.46,2.511679644048942e-5
127,ER_N500_k6.net,0.9,0.48,2.4671857619577285e-5
128,ER_N500_k6.net,0.9,0.5,2.404894327030032e-5
129,ER_N500_k6.net,0.9,0.52,2.424916573971078e-5
130,ER_N500_k6.net,0.9,0.54,2.5828698553948797e-5
131,ER_N500_k6.net,0.9,0.56,2.520578420467184e-5
132,ER_N500_k6.net,0.9,0.58,2.5717463848720784e-5
133,ER_N500_k6.net,0.9,0.6,2.338153503893213e-5
134,ER_N500_k6.net,0.9,0.62,2.549499443826472e-5
135,ER_N500_k6.net,0.9,0.64,2.5361512791991087e-5
136,ER_N500_k6.net,0.9,0.66,2.4760845383759713e-5
137,ER_N500_k6.net,0.9,0.68,2.4538375973303656e-5
138,ER_N500_k6.net,0.9,0.7,2.3492769744160167e-5
139,ER_N500_k6.net,0.9,0.72,2.5494994438264726e-5
140,ER_N500_k6.net,0.9,0.74,2.5672969966629576e-5
141,ER_N500_k6.net,0.9,0.76,2.529477196885425e-5
142,ER_N500_k6.net,0.9,0.78,2.371523915461623e-5
143,ER_N500_k6.net,0.9,0.8,2.5250278086763066e-5
144,ER_N500_k6.net,0.9,0.82,2.5383759733036685e-5
145,ER_N500_k6.net,0.9,0.84,2.540600667408229e-5
146,ER_N500_k6.net,0.9,0.86,2.5784204671857607e-5
147,ER_N500_k6.net,0.9,0.88,2.402669632925471e-5
148,ER_N500_k6.net,0.9,0.9,2.416017797552835e-5
149,ER_N500_k6.net,0.9,0.92,2.478309232480533e-5
150,ER_N500_k6.net,0.9,0.94,2.449388209121244e-5
151,ER_N500_k6.net,0.9,0.96,2.5205784204671825e-5
152,ER_N500_k6.net,0.9,0.98,2.458286985539486e-5
153,ER_N500_k6.net,0.9,1.0,2.5116796440489427e-5
