Index,network,μ,β,p
1,ER_500_05.net,0.1,0.0,0.018629213483146074
2,ER_500_07.net,0.1,0.0,0.024157303370786455
3,ER_N500_k6.net,0.1,0.0,0.015491657472247847
4,ER_500_07.net,0.1,0.02,0.9111910112359554
5,ER_500_05.net,0.1,0.08,0.9091235955056178
6,ER_N500_k6.net,0.1,0.02,0.4789128819436625
7,ER_500_05.net,0.1,0.12,0.9089213483146067
8,ER_500_07.net,0.1,0.06,0.9102921348314608
9,ER_N500_k6.net,0.1,0.04,0.6422507937222758
10,ER_500_07.net,0.1,0.08,0.9090112359550564
11,ER_500_05.net,0.1,0.2,0.90923595505618
12,ER_N500_k6.net,0.1,0.06,0.7074823804913198
13,ER_500_05.net,0.1,0.24,0.9073483146067419
14,ER_500_07.net,0.1,0.12,0.9081797752808994
15,ER_N500_k6.net,0.1,0.08,0.7645177996442319
16,ER_500_07.net,0.1,0.14,0.9068988764044945
17,ER_500_05.net,0.1,0.32,0.910314606741573
18,ER_N500_k6.net,0.1,0.1,0.7959964873567359
19,ER_500_05.net,0.1,0.36,0.9082471910112362
20,ER_500_07.net,0.1,0.18,0.9079775280898876
21,ER_N500_k6.net,0.1,0.12,0.8145954831010337
22,ER_500_07.net,0.1,0.2,0.9120224719101122
23,ER_500_05.net,0.1,0.44,0.9095280898876407
24,ER_N500_k6.net,0.1,0.14,0.8278129292292452
25,ER_500_05.net,0.1,0.48,0.9104044943820229
26,ER_500_07.net,0.1,0.24,0.9096629213483148
27,ER_N500_k6.net,0.1,0.16,0.83810317263741
28,ER_500_07.net,0.1,0.26,0.9088988764044946
29,ER_500_05.net,0.1,0.56,0.9086292134831462
30,ER_N500_k6.net,0.1,0.18,0.8560266600616968
31,ER_500_05.net,0.1,0.6,0.9111910112359557
32,ER_500_07.net,0.1,0.3,0.9119325842696632
33,ER_N500_k6.net,0.1,0.2,0.8621737857737948
34,ER_500_07.net,0.1,0.32,0.909820224719101
35,ER_500_05.net,0.1,0.68,0.9108988764044946
36,ER_N500_k6.net,0.1,0.22,0.8642903785098286
37,ER_500_05.net,0.1,0.72,0.9125842696629218
38,ER_500_07.net,0.1,0.36,0.9108314606741571
39,ER_N500_k6.net,0.1,0.24,0.8738825966539824
40,ER_500_07.net,0.1,0.38,0.9119325842696632
41,ER_500_05.net,0.1,0.8,0.910584269662922
42,ER_N500_k6.net,0.1,0.26,0.8778906126860458
43,ER_500_05.net,0.1,0.84,0.907932584269663
44,ER_500_07.net,0.1,0.42,0.9111460674157305
45,ER_N500_k6.net,0.1,0.28,0.8803449595820857
46,ER_500_07.net,0.1,0.44,0.9102696629213486
47,ER_500_05.net,0.1,0.92,0.9101123595505618
48,ER_N500_k6.net,0.1,0.3,0.8851410686541623
49,ER_500_05.net,0.1,0.96,0.9090561797752809
50,ER_500_07.net,0.1,0.48,0.9090786516853933
51,ER_N500_k6.net,0.1,0.32,0.8867397716781878
52,ER_500_07.net,0.1,0.5,0.9102247191011238
53,ER_500_05.net,0.5,0.02,0.6679550561797754
54,ER_N500_k6.net,0.1,0.34,0.8921888721262754
55,ER_500_05.net,0.5,0.06,0.668314606741573
56,ER_500_07.net,0.1,0.54,0.9098876404494386
57,ER_N500_k6.net,0.1,0.36,0.8946657359663143
58,ER_500_07.net,0.1,0.56,0.9097528089887644
59,ER_500_05.net,0.5,0.14,0.6677977528089888
60,ER_N500_k6.net,0.1,0.38,0.8985386503343765
61,ER_500_05.net,0.5,0.18,0.6683820224719101
62,ER_500_07.net,0.1,0.6,0.9078876404494381
63,ER_N500_k6.net,0.1,0.4,0.896624710094346
64,ER_500_07.net,0.1,0.62,0.9113932584269664
65,ER_500_05.net,0.5,0.26,0.6685393258426967
66,ER_N500_k6.net,0.1,0.42,0.8997095314223957
67,ER_500_05.net,0.5,0.3,0.670224719101124
68,ER_500_07.net,0.1,0.66,0.9082247191011238
69,ER_N500_k6.net,0.1,0.44,0.8983585147823735
70,ER_500_07.net,0.1,0.68,0.9094606741573036
71,ER_500_05.net,0.5,0.38,0.6712134831460675
72,ER_N500_k6.net,0.1,0.46,0.9031996577424509
73,ER_500_05.net,0.5,0.42,0.6704269662921345
74,ER_500_07.net,0.1,0.72,0.9094831460674158
