Index,network,μ,β,p
1,Erdos-Renyi_500_25.net,0.1,0.0,0.020862921348314602
2,Erdos-Renyi_500_50.net,0.1,0.0,0.020123595505617983
3,Erdos-Renyi_700_40.net,0.1,0.0,0.02097110754414124
4,Erdos-Renyi_700_80.net,0.1,0.0,0.021685393258426954
5,Erdos-Renyi_500_25.net,0.1,0.08,0.05846741573033702
6,Erdos-Renyi_700_40.net,0.1,0.02,0.03517977528089889
7,Erdos-Renyi_500_25.net,0.1,0.12,0.07250337078651681
8,Erdos-Renyi_700_80.net,0.1,0.02,0.05375762439807384
9,Erdos-Renyi_700_40.net,0.1,0.04,0.0491139646869984
10,Erdos-Renyi_500_50.net,0.1,0.08,0.10188089887640446
11,Erdos-Renyi_500_25.net,0.1,0.2,0.08345842696629208
12,Erdos-Renyi_700_80.net,0.1,0.04,0.07448154093097911
13,Erdos-Renyi_500_25.net,0.1,0.24,0.0870449438202247
14,Erdos-Renyi_500_50.net,0.1,0.12,0.11923820224719102
15,Erdos-Renyi_700_40.net,0.1,0.08,0.06457303370786517
16,Erdos-Renyi_700_80.net,0.1,0.06,0.09058587479935795
17,Erdos-Renyi_500_25.net,0.1,0.32,0.09190786516853931
18,Erdos-Renyi_700_40.net,0.1,0.1,0.06986035313001605
19,Erdos-Renyi_500_25.net,0.1,0.36,0.09384494382022468
20,Erdos-Renyi_700_80.net,0.1,0.08,0.10598715890850725
21,Erdos-Renyi_700_40.net,0.1,0.12,0.0744975922953451
22,Erdos-Renyi_500_50.net,0.1,0.2,0.14343820224719106
23,Erdos-Renyi_500_25.net,0.1,0.44,0.09682471910112354
24,Erdos-Renyi_700_80.net,0.1,0.1,0.11710272873194219
25,Erdos-Renyi_500_25.net,0.1,0.48,0.09807191011235954
26,Erdos-Renyi_500_50.net,0.1,0.24,0.15122921348314605
27,Erdos-Renyi_700_40.net,0.1,0.16,0.08343820224719098
28,Erdos-Renyi_700_80.net,0.1,0.12,0.12328410914927768
29,Erdos-Renyi_500_25.net,0.1,0.56,0.10245617977528085
