Index,# Nodes,# Edged,Degree (min),Degree (max),Degree (avg),ACC,Assort.,APL,Diameter
Barabasi-Albert_50_600_6.net,600.0,3759.0,5.0,83.0,12.53,0.1006,-0.0476,2.6441,4.0
Barabasi-Albert_50_600_9_1.net,600.0,4885.0,2.0,83.0,16.2833,0.0476,-0.0773,2.5534,4.0
Configuration-Model_power-law_700_10_3.0.net,700.0,652.0,1.0,10.0,1.8629,0.0032,-0.0382,2.5475,9.223372036854776e18
Configuration-Model_power-law_700_8_3.0.net,700.0,623.0,1.0,8.0,1.78,0.0,0.0374,1.5806,9.223372036854776e18
Erdos-Renyi_500_0.3.net,500.0,37579.0,115.0,182.0,150.316,0.3008,0.0014,1.6988,2.0
Erdos-Renyi_500_0.7.net,500.0,87563.0,313.0,380.0,350.252,0.7019,-0.0058,1.2981,2.0
Erdos-Renyi_500_1500.net,500.0,1500.0,0.0,14.0,6.0,0.0111,-0.0157,3.5753,9.223372036854776e18
Erdos-Renyi_500_25.net,500.0,25.0,0.0,2.0,0.1,0.0,-0.0417,-0.9996,9.223372036854776e18
Erdos-Renyi_500_350.net,500.0,350.0,0.0,5.0,1.4,0.0,0.001,3.1984,9.223372036854776e18
Erdos-Renyi_500_50.net,500.0,50.0,0.0,2.0,0.2,0.0,-0.087,-0.9991,9.223372036854776e18
Erdos-Renyi_700_0.3.net,700.0,73519.0,166.0,245.0,210.0543,0.3006,-0.0064,1.6995,2.0
Erdos-Renyi_700_0.7.net,700.0,171238.0,452.0,526.0,489.2514,0.6999,-0.004,1.3001,2.0
Erdos-Renyi_700_40.net,700.0,40.0,0.0,2.0,0.1143,0.0,-0.1429,-0.9996,9.223372036854776e18
Erdos-Renyi_700_80.net,700.0,80.0,0.0,3.0,0.2286,0.0,-0.1057,-0.9987,9.223372036854776e18
airports_UW.net,3618.0,14142.0,1.0,250.0,7.8176,0.4957,0.0462,4.4396,17.0
dolphins.net,62.0,159.0,1.0,12.0,5.129,0.259,-0.0436,3.357,8.0
zachary_unwh.net,34.0,78.0,1.0,17.0,4.5882,0.5706,-0.4756,2.4082,5.0
