Index,network,μ,β,p
1,airports_UW.net,0.1,0.0,0.020679995776423776
2,dolphins.net,0.1,0.0,0.014316781442551647
3,zachary_unwh.net,0.1,0.0,0.02015862524785194
4,dolphins.net,0.1,0.02,0.420442189198985
5,airports_UW.net,0.1,0.08,0.6585331768125663
6,zachary_unwh.net,0.1,0.02,0.4018506278916063
7,airports_UW.net,0.1,0.12,0.7245265557356787
8,dolphins.net,0.1,0.06,0.6603841971728892
9,zachary_unwh.net,0.1,0.04,0.5290812954395243
10,dolphins.net,0.1,0.08,0.720369699166365
11,airports_UW.net,0.1,0.2,0.7972124396742872
12,zachary_unwh.net,0.1,0.06,0.6070720423000664
13,airports_UW.net,0.1,0.24,0.8234141402848429
14,dolphins.net,0.1,0.12,0.759333091699891
15,zachary_unwh.net,0.1,0.08,0.6920026437541306
16,dolphins.net,0.1,0.14,0.7939470822761869
17,airports_UW.net,0.1,0.32,0.8489543543207806
18,zachary_unwh.net,0.1,0.1,0.7290152015862522
19,airports_UW.net,0.1,0.36,0.8587369022552654
20,dolphins.net,0.1,0.18,0.8338166002174704
21,zachary_unwh.net,0.1,0.12,0.7633840052875084
22,dolphins.net,0.1,0.2,0.8265675969554189
23,airports_UW.net,0.1,0.44,0.8746032633337685
24,zachary_unwh.net,0.1,0.14,0.7838730998017183
25,airports_UW.net,0.1,0.48,0.8816963869789629
26,dolphins.net,0.1,0.24,0.8510329829648425
27,zachary_unwh.net,0.1,0.16,0.7861863846662264
28,dolphins.net,0.1,0.26,0.8508517578832913
29,airports_UW.net,0.1,0.56,0.8898826715362016
30,zachary_unwh.net,0.1,0.18,0.8070059484467946
31,airports_UW.net,0.1,0.6,0.8921652660542478
32,dolphins.net,0.1,0.3,0.8689742660384202
33,zachary_unwh.net,0.1,0.2,0.8397224058162591
34,dolphins.net,0.1,0.32,0.8649873142442924
35,airports_UW.net,0.1,0.68,0.898721125955739
36,zachary_unwh.net,0.1,0.22,0.8443489755452742
37,airports_UW.net,0.1,0.72,0.9008888143551902
38,dolphins.net,0.1,0.36,0.8805726712577026
