Index,network,μ,β,p
1,Erdos-Renyi_500_1500.net,0.1,0.0,0.019707865168539333
2,Erdos-Renyi_500_350.net,0.1,0.0,0.017483146067415734
3,Erdos-Renyi_500_1500.net,0.1,0.04,0.651258426966292
4,Erdos-Renyi_500_350.net,0.1,0.02,0.19296629213483146
5,Erdos-Renyi_500_1500.net,0.1,0.08,0.7627865168539326
6,Erdos-Renyi_500_350.net,0.1,0.04,0.29040449438202237
7,Erdos-Renyi_500_1500.net,0.1,0.12,0.8120224719101128
8,Erdos-Renyi_500_350.net,0.1,0.06,0.36312359550561796
9,Erdos-Renyi_500_1500.net,0.1,0.16,0.841415730337078
10,Erdos-Renyi_500_350.net,0.1,0.08,0.4045617977528091
11,Erdos-Renyi_500_1500.net,0.1,0.2,0.8618426966292132
12,Erdos-Renyi_500_350.net,0.1,0.1,0.4637977528089888
13,Erdos-Renyi_500_1500.net,0.1,0.24,0.8738876404494381
14,Erdos-Renyi_500_350.net,0.1,0.12,0.48620224719101146
15,Erdos-Renyi_500_1500.net,0.1,0.28,0.876292134831461
16,Erdos-Renyi_500_350.net,0.1,0.14,0.5145168539325844
17,Erdos-Renyi_500_1500.net,0.1,0.32,0.8835955056179778
18,Erdos-Renyi_500_350.net,0.1,0.16,0.5301348314606742
19,Erdos-Renyi_500_1500.net,0.1,0.36,0.8868089887640451
20,Erdos-Renyi_500_350.net,0.1,0.18,0.5512808988764045
21,Erdos-Renyi_500_1500.net,0.1,0.4,0.8922471910112361
22,Erdos-Renyi_500_350.net,0.1,0.2,0.5674157303370784
23,Erdos-Renyi_500_1500.net,0.1,0.44,0.8938876404494384
24,Erdos-Renyi_500_350.net,0.1,0.22,0.5833483146067415
25,Erdos-Renyi_500_1500.net,0.1,0.48,0.8953483146067417
26,Erdos-Renyi_500_350.net,0.1,0.24,0.5920449438202248
27,Erdos-Renyi_500_1500.net,0.1,0.52,0.8965842696629209
28,Erdos-Renyi_500_350.net,0.1,0.26,0.6050337078651686
29,Erdos-Renyi_500_1500.net,0.1,0.56,0.8995955056179774
