Index,network,μ,β,p
1,Erdos-Renyi_500_25.net,0.1,0.0,0.02007730337078652
2,Erdos-Renyi_500_50.net,0.1,0.0,0.02028404494382023
3,Erdos-Renyi_700_40.net,0.1,0.0,0.02070112359550562
4,Erdos-Renyi_700_80.net,0.1,0.0,0.019797110754414114
5,Erdos-Renyi_500_25.net,0.1,0.08,0.06055955056179771
6,Erdos-Renyi_700_40.net,0.1,0.02,0.03651942215088283
7,Erdos-Renyi_500_25.net,0.1,0.12,0.07170471910112354
8,Erdos-Renyi_700_80.net,0.1,0.02,0.05177495987158911
9,Erdos-Renyi_700_40.net,0.1,0.04,0.04933836276083468
10,Erdos-Renyi_500_50.net,0.1,0.08,0.10088359550561794
11,Erdos-Renyi_500_25.net,0.1,0.2,0.08216629213483144
12,Erdos-Renyi_700_80.net,0.1,0.04,0.073261316211878
13,Erdos-Renyi_500_25.net,0.1,0.24,0.08677573033707864
14,Erdos-Renyi_500_50.net,0.1,0.12,0.1198134831460674
15,Erdos-Renyi_700_40.net,0.1,0.08,0.06505489566613161
16,Erdos-Renyi_700_80.net,0.1,0.06,0.09202439807383628
17,Erdos-Renyi_500_25.net,0.1,0.32,0.09246471910112353
18,Erdos-Renyi_700_40.net,0.1,0.1,0.07112616372391653
19,Erdos-Renyi_500_25.net,0.1,0.36,0.09426382022471907
20,Erdos-Renyi_700_80.net,0.1,0.08,0.10462568218298555
21,Erdos-Renyi_700_40.net,0.1,0.12,0.07643756019261636
22,Erdos-Renyi_500_50.net,0.1,0.2,0.14299460674157302
23,Erdos-Renyi_500_25.net,0.1,0.44,0.09774516853932581
24,Erdos-Renyi_700_80.net,0.1,0.1,0.11432873194221506
25,Erdos-Renyi_500_25.net,0.1,0.48,0.09913078651685389
26,Erdos-Renyi_500_50.net,0.1,0.24,0.15079550561797755
27,Erdos-Renyi_700_40.net,0.1,0.16,0.08350979133226323
28,Erdos-Renyi_700_80.net,0.1,0.12,0.12259518459069016
29,Erdos-Renyi_500_25.net,0.1,0.56,0.10095415730337075
30,Erdos-Renyi_700_40.net,0.1,0.18,0.0863720706260032
31,Erdos-Renyi_500_25.net,0.1,0.6,0.10205393258426959
32,Erdos-Renyi_700_80.net,0.1,0.14,0.13005232744783302
33,Erdos-Renyi_700_40.net,0.1,0.2,0.08933643659711075
34,Erdos-Renyi_500_50.net,0.1,0.32,0.16150561797752816
35,Erdos-Renyi_500_25.net,0.1,0.68,0.10316719101123592
36,Erdos-Renyi_700_80.net,0.1,0.16,0.1361736757624398
37,Erdos-Renyi_500_25.net,0.1,0.72,0.10367280898876403
38,Erdos-Renyi_500_50.net,0.1,0.36,0.1658660674157304
39,Erdos-Renyi_700_40.net,0.1,0.24,0.09315184590690213
40,Erdos-Renyi_700_80.net,0.1,0.18,0.14151235955056177
41,Erdos-Renyi_500_25.net,0.1,0.8,0.10469528089887634
42,Erdos-Renyi_700_40.net,0.1,0.26,0.09493772070626003
43,Erdos-Renyi_500_25.net,0.1,0.84,0.10576134831460669
44,Erdos-Renyi_700_80.net,0.1,0.2,0.1461325842696629
45,Erdos-Renyi_700_40.net,0.1,0.28,0.09736757624398074
46,Erdos-Renyi_500_50.net,0.1,0.44,0.17197483146067424
47,Erdos-Renyi_500_25.net,0.1,0.92,0.10635191011235952
48,Erdos-Renyi_700_80.net,0.1,0.22,0.1495614767255217
49,Erdos-Renyi_500_25.net,0.1,0.96,0.10727865168539323
50,Erdos-Renyi_500_50.net,0.1,0.48,0.17504404494382025
51,Erdos-Renyi_700_40.net,0.1,0.32,0.09926356340288932
52,Erdos-Renyi_700_80.net,0.1,0.24,0.15298619582664533
53,Erdos-Renyi_500_25.net,0.5,0.02,0.0061114606741573055
54,Erdos-Renyi_700_40.net,0.1,0.34,0.10032295345104339
55,Erdos-Renyi_500_25.net,0.5,0.06,0.012614831460674165
56,Erdos-Renyi_700_80.net,0.1,0.26,0.1562227929373997
57,Erdos-Renyi_700_40.net,0.1,0.36,0.10137784911717496
58,Erdos-Renyi_500_50.net,0.1,0.56,0.1792939325842697
59,Erdos-Renyi_500_25.net,0.5,0.14,0.023782921348314612
60,Erdos-Renyi_700_80.net,0.1,0.28,0.15839967897271268
61,Erdos-Renyi_500_25.net,0.5,0.18,0.028293033707865164
62,Erdos-Renyi_500_50.net,0.1,0.6,0.1801114606741573
63,Erdos-Renyi_700_40.net,0.1,0.4,0.10404365971107542
64,Erdos-Renyi_700_80.net,0.1,0.3,0.1611354735152488
65,Erdos-Renyi_500_25.net,0.5,0.26,0.03576269662921346
66,Erdos-Renyi_700_40.net,0.1,0.42,0.10477624398073836
67,Erdos-Renyi_500_25.net,0.5,0.3,0.038748314606741545
